baseline_bp_val,baseline_bp_trg, %,  baseline_hr_val,baseline_hr_trg, %,  baseline_pp_val,baseline_pp_trg, %,  ph1_peak_val,ph1_peak_trg, %,  ph2_mean_min_val,ph2_mean_min_trg, %,  ph2_max_val,ph2_max_trg, %,  ph4_drop_val,ph4_drop_trg, %,  ph4_ovrshoot_val,ph4_ovrshoot_trg, %,  ph5_recovery_val,ph5_recovery_trg, %,  ph1_hr_min_val,ph1_hr_min_trg, %,  ph4_hr_max_val,ph4_hr_max_trg, %,  ph4_hr_drop_val,ph4_hr_drop_trg, %,  ph5_hr_recovery_val,ph5_hr_recovery_trg, %,  t_ph1_peak_val,t_ph1_peak_trg, %,  t_ph2_mean_min_val,t_ph2_mean_min_trg, %,  t_ph2_max_val,t_ph2_max_trg, %,  t_ph4_drop_val,t_ph4_drop_trg, %,  t_ph4_ovrshoot_val,t_ph4_ovrshoot_trg, %,  t_ph1_hr_min_val,t_ph1_hr_min_trg, %,  t_ph4_hr_max_val,t_ph4_hr_max_trg, %,  t_ph4_hr_drop_val,t_ph4_hr_drop_trg, %,  pp_ph2_mean_min_val,pp_ph2_mean_min_trg, %,  pp_ph2_max_val,pp_ph2_max_trg, %,  pp_ph4_drop_val,pp_ph4_drop_trg, %,  SV_min_valsalva_val,SV_min_valsalva_trg, %,  SV_min_midValsalva_val,SV_min_midValsalva_trg, %,  SV_min_recovery_val,SV_min_recovery_trg, %  ,run, datetime, total_costs
9.448e+01,1.158e+02,00,  6.370e+01,7.011e+01,00,  4.104e+01,5.684e+01,00,  1.198e+00,1.155e+00,00,  9.398e-01,1.046e+00,00,  1.011e+00,1.146e+00,00,  7.823e-01,9.703e-01,01,  1.335e+00,1.113e+00,01,  9.477e-01,1.008e+00,00,  9.514e-01,9.517e-01,00,  1.682e+00,1.346e+00,02,  9.234e-01,8.372e-01,00,  9.811e-01,9.457e-01,00,  1.500e-01,1.398e+00,00,  1.001e+01,6.379e+00,10,  -1.040e+00,-2.708e+00,12,  7.800e-01,9.885e-01,01,  2.530e+00,3.630e+00,03,  0.000e+00,2.092e+00,00,  1.360e+00,2.253e+00,05,  3.270e+00,6.501e+00,08,  3.110e-01,8.576e-01,13,  3.114e-01,6.536e-01,09,  7.026e-01,7.882e-01,00,  1.988e+01,>25.000  ,01,  5.960e+01,>60.000  ,00,  0.000e+00,>60.000  ,32  ,012,2020-10-23 14:21:30, 3.158327e+00
9.446e+01,1.158e+02,00,  6.339e+01,7.011e+01,00,  4.190e+01,5.684e+01,00,  1.189e+00,1.155e+00,00,  1.001e+00,1.046e+00,00,  1.104e+00,1.146e+00,00,  8.286e-01,9.703e-01,01,  1.316e+00,1.113e+00,01,  9.564e-01,1.008e+00,00,  9.963e-01,9.517e-01,00,  1.604e+00,1.346e+00,01,  9.465e-01,8.372e-01,01,  9.859e-01,9.457e-01,00,  2.300e-01,1.398e+00,00,  8.790e+00,6.379e+00,04,  -7.400e-01,-2.708e+00,16,  4.900e-01,9.885e-01,08,  2.340e+00,3.630e+00,04,  2.300e-01,2.092e+00,00,  1.130e+00,2.253e+00,07,  3.070e+00,6.501e+00,08,  3.487e-01,8.576e-01,10,  3.739e-01,6.536e-01,05,  5.020e-01,7.882e-01,04,  2.685e+01,>25.000  ,00,  6.248e+01,>60.000  ,00,  0.000e+00,>60.000  ,30  ,013,2020-10-23 14:22:13, 3.364701e+00
9.445e+01,1.158e+02,00,  6.347e+01,7.011e+01,00,  4.181e+01,5.684e+01,00,  1.196e+00,1.155e+00,00,  9.816e-01,1.046e+00,00,  1.067e+00,1.146e+00,00,  8.160e-01,9.703e-01,01,  1.297e+00,1.113e+00,01,  9.543e-01,1.008e+00,00,  9.952e-01,9.517e-01,00,  1.602e+00,1.346e+00,01,  9.454e-01,8.372e-01,01,  9.828e-01,9.457e-01,00,  2.100e-01,1.398e+00,00,  9.470e+00,6.379e+00,08,  -8.400e-01,-2.708e+00,17,  3.900e-01,9.885e-01,13,  2.190e+00,3.630e+00,06,  2.100e-01,2.092e+00,00,  1.010e+00,2.253e+00,11,  3.780e+00,6.501e+00,06,  3.369e-01,8.576e-01,13,  3.606e-01,6.536e-01,07,  4.568e-01,7.882e-01,06,  2.469e+01,>25.000  ,00,  6.149e+01,>60.000  ,00,  3.074e+01,>60.000  ,08  ,014,2020-10-23 14:22:56, 2.820111e+00
9.446e+01,1.158e+02,00,  6.335e+01,7.011e+01,00,  4.177e+01,5.684e+01,00,  1.186e+00,1.155e+00,00,  9.877e-01,1.046e+00,00,  1.076e+00,1.146e+00,00,  8.091e-01,9.703e-01,01,  1.315e+00,1.113e+00,01,  9.546e-01,1.008e+00,00,  9.866e-01,9.517e-01,00,  1.605e+00,1.346e+00,01,  9.764e-01,8.372e-01,01,  9.860e-01,9.457e-01,00,  2.400e-01,1.398e+00,00,  8.800e+00,6.379e+00,04,  -7.600e-01,-2.708e+00,14,  4.600e-01,9.885e-01,08,  2.290e+00,3.630e+00,04,  2.400e-01,2.092e+00,00,  0.000e+00,2.253e+00,26,  3.950e+00,6.501e+00,04,  3.373e-01,8.576e-01,10,  3.666e-01,6.536e-01,05,  4.614e-01,7.882e-01,05,  2.536e+01,>25.000  ,00,  6.249e+01,>60.000  ,00,  1.026e+01,>60.000  ,18  ,015,2020-10-23 14:23:39, 3.796478e+00
9.445e+01,1.158e+02,00,  6.357e+01,7.011e+01,00,  4.164e+01,5.684e+01,00,  1.194e+00,1.155e+00,00,  9.754e-01,1.046e+00,00,  1.059e+00,1.146e+00,00,  8.169e-01,9.703e-01,01,  1.279e+00,1.113e+00,01,  9.522e-01,1.008e+00,00,  1.004e+00,9.517e-01,00,  1.600e+00,1.346e+00,01,  9.253e-01,8.372e-01,00,  9.835e-01,9.457e-01,00,  1.800e-01,1.398e+00,00,  9.410e+00,6.379e+00,08,  -9.100e-01,-2.708e+00,15,  3.300e-01,9.885e-01,16,  2.760e+00,3.630e+00,02,  0.000e+00,2.092e+00,00,  9.300e-01,2.253e+00,12,  3.620e+00,6.501e+00,07,  3.280e-01,8.576e-01,13,  3.453e-01,6.536e-01,08,  4.381e-01,7.882e-01,07,  2.382e+01,>25.000  ,00,  6.076e+01,>60.000  ,00,  3.190e+01,>60.000  ,08  ,016,2020-10-23 14:24:21, 2.844485e+00
9.445e+01,1.158e+02,00,  6.347e+01,7.011e+01,00,  4.181e+01,5.684e+01,00,  1.196e+00,1.155e+00,00,  9.816e-01,1.046e+00,00,  1.067e+00,1.146e+00,00,  8.160e-01,9.703e-01,01,  1.297e+00,1.113e+00,01,  9.543e-01,1.008e+00,00,  9.952e-01,9.517e-01,00,  1.602e+00,1.346e+00,01,  9.454e-01,8.372e-01,01,  9.828e-01,9.457e-01,00,  2.100e-01,1.398e+00,00,  9.470e+00,6.379e+00,08,  -8.400e-01,-2.708e+00,17,  3.900e-01,9.885e-01,13,  2.190e+00,3.630e+00,06,  2.100e-01,2.092e+00,00,  1.010e+00,2.253e+00,11,  3.780e+00,6.501e+00,06,  3.369e-01,8.576e-01,13,  3.606e-01,6.536e-01,07,  4.568e-01,7.882e-01,06,  2.469e+01,>25.000  ,00,  6.149e+01,>60.000  ,00,  3.074e+01,>60.000  ,08  ,017,2020-10-23 14:25:04, 2.820112e+00
9.445e+01,1.158e+02,00,  6.347e+01,7.011e+01,00,  4.181e+01,5.684e+01,00,  1.196e+00,1.155e+00,00,  9.816e-01,1.046e+00,00,  1.067e+00,1.146e+00,00,  8.160e-01,9.703e-01,01,  1.297e+00,1.113e+00,01,  9.543e-01,1.008e+00,00,  9.952e-01,9.517e-01,00,  1.602e+00,1.346e+00,01,  9.454e-01,8.372e-01,01,  9.828e-01,9.457e-01,00,  2.100e-01,1.398e+00,00,  9.470e+00,6.379e+00,08,  -8.400e-01,-2.708e+00,17,  3.900e-01,9.885e-01,13,  2.190e+00,3.630e+00,06,  2.100e-01,2.092e+00,00,  1.010e+00,2.253e+00,11,  3.780e+00,6.501e+00,06,  3.370e-01,8.576e-01,13,  3.606e-01,6.536e-01,07,  4.568e-01,7.882e-01,06,  2.469e+01,>25.000  ,00,  6.149e+01,>60.000  ,00,  3.074e+01,>60.000  ,08  ,018,2020-10-23 14:25:46, 2.820102e+00
9.448e+01,1.158e+02,00,  6.343e+01,7.011e+01,00,  4.175e+01,5.684e+01,00,  1.191e+00,1.155e+00,00,  9.795e-01,1.046e+00,00,  1.067e+00,1.146e+00,00,  8.183e-01,9.703e-01,01,  1.290e+00,1.113e+00,01,  9.538e-01,1.008e+00,00,  1.006e+00,9.517e-01,00,  1.603e+00,1.346e+00,01,  9.459e-01,8.372e-01,01,  9.834e-01,9.457e-01,00,  2.200e-01,1.398e+00,00,  9.470e+00,6.379e+00,09,  -8.500e-01,-2.708e+00,17,  3.800e-01,9.885e-01,14,  2.190e+00,3.630e+00,06,  0.000e+00,2.092e+00,00,  1.000e+00,2.253e+00,11,  3.760e+00,6.501e+00,06,  3.278e-01,8.576e-01,14,  3.590e-01,6.536e-01,07,  4.691e-01,7.882e-01,06,  2.469e+01,>25.000  ,00,  6.129e+01,>60.000  ,00,  3.713e+01,>60.000  ,05  ,019,2020-10-23 14:26:29, 2.743606e+00
9.448e+01,1.158e+02,00,  6.343e+01,7.011e+01,00,  4.176e+01,5.684e+01,00,  1.191e+00,1.155e+00,00,  9.801e-01,1.046e+00,00,  1.065e+00,1.146e+00,00,  8.177e-01,9.703e-01,01,  1.289e+00,1.113e+00,01,  9.538e-01,1.008e+00,00,  1.006e+00,9.517e-01,00,  1.603e+00,1.346e+00,01,  9.366e-01,8.372e-01,01,  9.830e-01,9.457e-01,00,  2.200e-01,1.398e+00,00,  9.470e+00,6.379e+00,09,  -8.400e-01,-2.708e+00,17,  3.800e-01,9.885e-01,14,  2.190e+00,3.630e+00,06,  0.000e+00,2.092e+00,00,  1.000e+00,2.253e+00,11,  3.750e+00,6.501e+00,07,  3.296e-01,8.576e-01,14,  3.574e-01,6.536e-01,08,  4.680e-01,7.882e-01,06,  2.464e+01,>25.000  ,00,  6.128e+01,>60.000  ,00,  3.878e+01,>60.000  ,05  ,020,2020-10-23 14:27:12, 2.727733e+00
9.448e+01,1.158e+02,00,  6.343e+01,7.011e+01,00,  4.176e+01,5.684e+01,00,  1.191e+00,1.155e+00,00,  9.800e-01,1.046e+00,00,  1.066e+00,1.146e+00,00,  8.172e-01,9.703e-01,01,  1.287e+00,1.113e+00,01,  9.542e-01,1.008e+00,00,  1.006e+00,9.517e-01,00,  1.603e+00,1.346e+00,01,  9.459e-01,8.372e-01,01,  9.814e-01,9.457e-01,00,  2.200e-01,1.398e+00,00,  9.470e+00,6.379e+00,09,  -8.500e-01,-2.708e+00,17,  3.800e-01,9.885e-01,14,  2.180e+00,3.630e+00,06,  0.000e+00,2.092e+00,00,  1.000e+00,2.253e+00,11,  3.750e+00,6.501e+00,07,  3.293e-01,8.576e-01,14,  3.571e-01,6.536e-01,08,  4.676e-01,7.882e-01,06,  2.462e+01,>25.000  ,00,  6.128e+01,>60.000  ,00,  3.956e+01,>60.000  ,04  ,021,2020-10-23 14:27:55, 2.719316e+00
9.448e+01,1.158e+02,00,  6.343e+01,7.011e+01,00,  4.175e+01,5.684e+01,00,  1.190e+00,1.155e+00,00,  9.765e-01,1.046e+00,00,  1.063e+00,1.146e+00,00,  8.092e-01,9.703e-01,01,  1.276e+00,1.113e+00,01,  9.532e-01,1.008e+00,00,  1.006e+00,9.517e-01,00,  1.603e+00,1.346e+00,01,  9.366e-01,8.372e-01,01,  9.834e-01,9.457e-01,00,  2.200e-01,1.398e+00,00,  8.740e+00,6.379e+00,05,  -8.500e-01,-2.708e+00,18,  3.800e-01,9.885e-01,15,  2.180e+00,3.630e+00,06,  0.000e+00,2.092e+00,00,  9.900e-01,2.253e+00,12,  3.720e+00,6.501e+00,07,  3.321e-01,8.576e-01,15,  3.542e-01,6.536e-01,08,  4.647e-01,7.882e-01,07,  2.484e+01,>25.000  ,00,  6.131e+01,>60.000  ,00,  4.529e+01,>60.000  ,02  ,022,2020-10-23 14:28:37, 2.575476e+00
9.448e+01,1.158e+02,00,  6.343e+01,7.011e+01,00,  4.175e+01,5.684e+01,00,  1.190e+00,1.155e+00,00,  9.775e-01,1.046e+00,00,  1.068e+00,1.146e+00,00,  8.144e-01,9.703e-01,01,  1.283e+00,1.113e+00,01,  9.536e-01,1.008e+00,00,  1.006e+00,9.517e-01,00,  1.603e+00,1.346e+00,02,  9.459e-01,8.372e-01,01,  9.834e-01,9.457e-01,00,  2.200e-01,1.398e+00,00,  8.740e+00,6.379e+00,06,  -8.500e-01,-2.708e+00,20,  3.800e-01,9.885e-01,16,  2.180e+00,3.630e+00,07,  0.000e+00,2.092e+00,00,  1.590e+00,2.253e+00,04,  3.740e+00,6.501e+00,08,  3.324e-01,8.576e-01,16,  3.595e-01,6.536e-01,09,  4.674e-01,7.882e-01,07,  2.518e+01,>25.000  ,00,  6.129e+01,>60.000  ,00,  4.247e+01,>60.000  ,04  ,023,2020-10-23 14:29:20, 2.361815e+00
9.448e+01,1.158e+02,00,  6.343e+01,7.011e+01,00,  4.174e+01,5.684e+01,00,  1.190e+00,1.155e+00,00,  9.777e-01,1.046e+00,00,  1.068e+00,1.146e+00,00,  8.149e-01,9.703e-01,01,  1.284e+00,1.113e+00,01,  9.535e-01,1.008e+00,00,  1.006e+00,9.517e-01,00,  1.603e+00,1.346e+00,01,  9.366e-01,8.372e-01,01,  9.834e-01,9.457e-01,00,  2.200e-01,1.398e+00,00,  8.740e+00,6.379e+00,05,  -8.500e-01,-2.708e+00,18,  3.800e-01,9.885e-01,15,  2.180e+00,3.630e+00,06,  0.000e+00,2.092e+00,00,  9.900e-01,2.253e+00,12,  3.730e+00,6.501e+00,07,  3.326e-01,8.576e-01,15,  3.601e-01,6.536e-01,08,  4.676e-01,7.882e-01,06,  2.518e+01,>25.000  ,00,  6.129e+01,>60.000  ,00,  4.289e+01,>60.000  ,03  ,024,2020-10-23 14:30:03, 2.582633e+00
9.449e+01,1.158e+02,00,  6.343e+01,7.011e+01,00,  4.175e+01,5.684e+01,00,  1.190e+00,1.155e+00,00,  9.773e-01,1.046e+00,00,  1.068e+00,1.146e+00,00,  8.140e-01,9.703e-01,01,  1.282e+00,1.113e+00,01,  9.542e-01,1.008e+00,00,  1.006e+00,9.517e-01,00,  1.603e+00,1.346e+00,02,  9.366e-01,8.372e-01,01,  9.814e-01,9.457e-01,00,  2.200e-01,1.398e+00,00,  8.740e+00,6.379e+00,06,  -8.500e-01,-2.708e+00,20,  3.800e-01,9.885e-01,16,  2.180e+00,3.630e+00,07,  0.000e+00,2.092e+00,00,  1.590e+00,2.253e+00,04,  3.740e+00,6.501e+00,08,  3.323e-01,8.576e-01,16,  3.588e-01,6.536e-01,09,  4.672e-01,7.882e-01,07,  2.517e+01,>25.000  ,00,  6.129e+01,>60.000  ,00,  4.205e+01,>60.000  ,04  ,025,2020-10-23 14:30:52, 2.364419e+00
9.447e+01,1.158e+02,00,  6.362e+01,7.011e+01,00,  4.140e+01,5.684e+01,00,  1.193e+00,1.155e+00,00,  9.460e-01,1.046e+00,00,  1.024e+00,1.146e+00,00,  7.980e-01,9.703e-01,01,  1.319e+00,1.113e+00,01,  9.488e-01,1.008e+00,00,  9.824e-01,9.517e-01,00,  1.655e+00,1.346e+00,02,  9.156e-01,8.372e-01,00,  9.804e-01,9.457e-01,00,  1.700e-01,1.398e+00,00,  1.006e+01,6.379e+00,11,  -9.900e-01,-2.708e+00,13,  8.300e-01,9.885e-01,01,  2.600e+00,3.630e+00,03,  0.000e+00,2.092e+00,00,  1.410e+00,2.253e+00,05,  3.350e+00,6.501e+00,08,  3.202e-01,8.576e-01,13,  3.420e-01,6.536e-01,08,  7.272e-01,7.882e-01,00,  2.159e+01,>25.000  ,01,  5.997e+01,>60.000  ,00,  2.949e-01,>60.000  ,33  ,026,2020-10-23 14:31:34, 3.005692e+00
